ID,X,Y,Z,R,G,B,PART
DB4C206B9F134F30,2.79,-11.79,30.00,0.47,0.46,0.47,BODY
6A3F31909C5CE594,3.94,-11.76,30.20,0.00,0.00,0.00,BODY
CFB310ECF5AD5FB6,3.06,-11.51,30.40,0.09,0.02,0.03,BODY
C414EFC4040A39D1,4.39,-11.55,30.60,0.33,0.27,0.29,BODY
74147BFA8B3B5839,4.64,-11.42,30.00,0.32,0.27,0.29,BODY
DA870664925A53BC,4.80,-11.75,30.20,0.06,0.03,0.03,BODY
DBEE11B6C9528DBA,3.88,-11.65,30.40,0.13,0.08,0.09,BODY
C5CD4658F76A2A70,2.77,-11.46,30.60,0.18,0.18,0.17,BODY
255EFDBF7CCDEBDE,4.74,-11.17,30.00,0.13,0.05,0.06,BODY
F3AB5A1284F43324,3.47,-11.47,30.20,0.14,0.11,0.11,BODY
31E62E28E482503E,-5.31,-11.08,30.40,0.09,0.03,0.06,BODY
A993CD9ED7926C4C,3.32,-11.40,30.60,0.19,0.16,0.16,BODY
70F19D4E035D6EB9,-4.64,-11.46,30.00,0.06,0.05,0.03,BODY
770D1F4590A37051,3.96,-11.20,30.20,0.14,0.12,0.11,BODY
2B8608F8E788ACBA,-4.94,-11.35,30.40,0.03,0.03,0.03,BODY
0D8737E080F59C87,4.05,-11.04,30.60,0.09,0.10,0.09,BODY
ACCA6CABE960D0CE,-4.20,-11.29,30.00,0.30,0.29,0.30,BODY
1D32EDAB732E61B4,4.74,-11.42,30.20,0.11,0.08,0.08,BODY
0A21D79653C5014D,2.81,-11.08,30.40,0.11,0.11,0.11,BODY
1D33B7FF85942350,4.87,-11.40,30.60,0.19,0.11,0.14,BODY
F8036442BF07AEF3,2.83,-11.31,30.00,0.13,0.13,0.13,BODY
2710FE9DC452D10E,5.38,-10.97,30.20,0.19,0.08,0.09,BODY
0F380538E00D3A6B,3.20,-11.02,30.40,0.14,0.14,0.14,BODY
B34F183F356E6C27,-5.21,-10.77,30.60,0.08,0.07,0.06,BODY
77F131200363E9C7,3.70,-10.69,30.00,0.11,0.11,0.09,BODY
2DF86AABEED02EF4,2.29,-11.03,30.20,0.09,0.09,0.09,BODY
D414CF068587351A,-5.43,-10.61,30.40,0.24,0.20,0.21,BODY
E813DBE22D45EFCF,3.28,-11.01,30.60,0.14,0.13,0.12,BODY
DBF24041E3777633,2.62,-10.68,30.00,0.05,0.05,0.05,BODY
D0D42192FF110E69,-5.10,-10.64,30.20,0.07,0.06,0.05,BODY
99F741EA3D3E27DD,-5.53,-10.62,30.40,0.34,0.25,0.28,BODY
64C05E77163538C2,3.42,-10.51,30.60,0.25,0.26,0.21,BODY
D5450EC1E63BE522,2.95,-10.66,30.00,0.05,0.05,0.05,BODY
3865544404D445C0,-4.65,-10.83,30.20,0.09,0.11,0.13,BODY
350B4DF73CF7FFB1,-5.95,-10.75,30.40,0.18,0.09,0.11,BODY
2214BF32C3C2BF43,3.21,-10.45,30.60,0.09,0.08,0.06,BODY
B611E294BC1680E8,2.22,-10.52,30.00,0.32,0.32,0.32,BODY
A40778F4C4447742,-5.92,-10.64,30.20,0.13,0.05,0.06,BODY
A4EB518755150CE6,3.16,-10.57,30.40,0.06,0.06,0.06,BODY
BD17FEC3B50B9568,-4.61,-10.33,30.60,0.04,0.04,0.04,BODY
7B9F9482B6A08D16,-6.60,-10.20,30.00,0.16,0.06,0.09,BODY
2F9940DC81B7C617,2.70,-10.14,30.20,0.06,0.06,0.06,BODY
865BACDA7EAFEFED,-5.70,-10.51,30.40,0.05,0.06,0.06,BODY
2BC0F2552AD316BD,3.16,-10.42,30.60,0.19,0.17,0.13,BODY
1CF6CA235DF18C22,-4.31,-10.22,30.00,0.09,0.08,0.09,BODY
