ID,X,Y,Z,R,G,B,PART
6C3A4E6535031934,-2.17,-12.99,30.00,0.13,0.36,0.42,BODY
3559C2129D26E543,0.61,-12.70,30.20,0.28,0.61,0.70,BODY
14FFE4CB19B6885B,2.79,-12.70,30.40,0.52,0.83,0.91,BODY
533A21AF5B9DBAE0,5.46,-12.93,30.60,0.39,0.68,0.81,BODY
10268C991858BDA5,0.20,-13.02,30.00,0.29,0.62,0.71,BODY
F4F08983BEA75485,2.89,-12.93,30.20,0.45,0.78,0.91,BODY
0DBBEA7028114ED1,5.40,-12.80,30.40,0.35,0.71,0.82,BODY
343F9C651DEADCD8,0.41,-12.67,30.60,0.27,0.58,0.69,BODY
D374175B2BA3C510,2.81,-12.44,30.00,0.43,0.77,0.88,BODY
FAA6DB0EFE5B6E6A,5.19,-12.98,30.20,0.36,0.71,0.83,BODY
1AEC7A02AA4A99D7,-0.06,-12.90,30.40,0.28,0.60,0.70,BODY
32C36860E4C33067,2.28,-12.49,30.60,0.43,0.76,0.87,BODY
6912669AAC5E9CD8,4.76,-12.70,30.00,0.36,0.71,0.83,BODY
71BEC9F3C0BE5A9F,-0.07,-12.79,30.20,0.26,0.59,0.68,BODY
D8549E0FDC6ABEF2,2.15,-12.60,30.40,0.54,0.82,0.93,BODY
66897C7310FB8D4B,4.91,-12.64,30.60,0.45,0.78,0.87,BODY
195CE97A0542D7C5,-0.16,-12.59,30.00,0.28,0.61,0.70,BODY
10D064399C1B1194,1.91,-12.84,30.20,0.53,0.82,0.93,BODY
36018E975C0334C5,4.50,-12.56,30.40,0.52,0.83,0.94,BODY
CE15E46A37DFC846,-0.41,-12.72,30.60,0.29,0.62,0.72,BODY
6CEE44563C18B2AB,1.79,-12.38,30.00,0.44,0.77,0.88,BODY
FBB22CDAEA3B0BAD,4.55,-12.30,30.20,0.53,0.83,0.94,BODY
A9B8DDB2E61C32FF,-0.81,-12.42,30.40,0.32,0.65,0.74,BODY
91480C60D2C16BA5,1.83,-12.33,30.60,0.44,0.77,0.88,BODY
8D9B68D977DD532E,4.62,-12.32,30.00,0.51,0.83,0.93,BODY
C8B08751B65C8925,-0.65,-12.24,30.20,0.31,0.64,0.73,BODY
D353F7F95AA97E07,1.67,-12.18,30.40,0.53,0.82,0.91,BODY
C9CFB6DFD57EA0A7,4.52,-12.64,30.60,0.52,0.83,0.93,BODY
328BC83C4595DF0E,-1.14,-12.16,30.00,0.24,0.56,0.67,BODY
F68A47F2BE821214,1.34,-12.47,30.20,0.53,0.82,0.91,BODY
AE9BCB155D682571,3.72,-12.48,30.40,0.49,0.82,0.91,BODY
AA58655EF6BB83B2,-1.63,-12.37,30.60,0.27,0.62,0.72,BODY
3F8D8294F19E2FF1,1.21,-12.08,30.00,0.35,0.67,0.77,BODY
46BB2C97D1E8CADC,3.43,-12.19,30.20,0.57,0.85,0.94,BODY
24D9528CB86D6484,-12.00,-12.44,30.40,0.39,0.67,0.84,BODY
54731C2913AD2BDA,0.23,-12.53,30.60,0.29,0.60,0.71,BODY
4BD5482E695BEEC6,2.62,-12.22,30.00,0.48,0.81,0.91,BODY
09330A52B0E298BE,5.12,-12.14,30.20,0.41,0.73,0.86,BODY
1A835685A58516E1,-0.40,-12.32,30.40,0.30,0.64,0.74,BODY
DF9711E7F519E97B,2.17,-12.02,30.60,0.50,0.80,0.89,BODY
EABF77A80EB3F21F,4.78,-12.11,30.00,0.53,0.82,0.91,BODY
56AFA04F28B1428E,-1.28,-11.95,30.20,0.26,0.64,0.74,BODY
4090C2602E878B00,1.12,-11.95,30.40,0.40,0.74,0.85,BODY
62F3B83CB282EB2E,3.30,-12.21,30.60,0.57,0.84,0.93,BODY
5B449588F4A45B0C,-12.01,-12.38,30.00,0.15,0.33,0.50,BODY
