ID,X,Y,Z,R,G,B,PART
B2B7DEB2CD7CEC4A,-3.13,-13.03,30.00,0.59,0.65,0.78,BODY
B8D0682D68E86D28,-3.20,-12.72,30.20,0.40,0.44,0.67,BODY
DA52BE3BCEDABB75,-3.21,-12.87,30.40,0.51,0.53,0.65,BODY
B925AB21882C859A,-3.39,-12.60,30.60,0.22,0.24,0.61,BODY
F2DCD7D9DAB009C4,-3.62,-12.20,30.00,0.22,0.24,0.61,BODY
DB4767E990DD7F8E,-2.59,-12.76,30.20,0.73,0.71,0.72,BODY
3D9C0E5A32B78FA9,-2.83,-12.37,30.40,0.74,0.73,0.71,BODY
891046A34CDE283B,-3.18,-12.48,30.60,0.70,0.69,0.69,BODY
ECB5BE5FAA360DEE,-3.62,-12.21,30.00,0.57,0.58,0.59,BODY
EC97274AA15EA54C,-2.75,-12.28,30.20,0.78,0.75,0.74,BODY
23B9EBFA7250B74B,-3.30,-12.48,30.40,0.75,0.73,0.73,BODY
E41A0821B9A64505,-4.00,-12.50,30.60,0.57,0.58,0.59,BODY
BAA7EF529EB5AEFE,-2.63,-12.05,30.00,0.78,0.75,0.74,BODY
ED4FDC55B89D2757,-3.10,-12.17,30.20,0.75,0.73,0.72,BODY
465BFEF4B815C73C,-3.91,-12.35,30.40,0.55,0.54,0.55,BODY
5435F0BA35EE8F27,-3.05,-12.21,30.60,0.81,0.79,0.78,BODY
DF269C283FAF2004,-3.55,-11.81,30.00,0.69,0.67,0.67,BODY
8855488515FF6723,-2.55,-12.13,30.20,0.81,0.80,0.78,BODY
C26382C45C02B8B7,-3.59,-12.33,30.40,0.78,0.75,0.74,BODY
7AD68B75BDF48249,-2.39,-12.05,30.60,0.72,0.80,0.82,BODY
ACE903E0A15887F6,-3.28,-11.97,30.00,0.78,0.77,0.75,BODY
2A62EB7C974A47CD,-4.07,-11.84,30.20,0.58,0.56,0.55,BODY
CB0B3B308C5983C9,-2.95,-12.06,30.40,0.81,0.80,0.78,BODY
B867C25D75B5EB64,-4.02,-11.70,30.60,0.59,0.58,0.58,BODY
F5BBF22C832B421A,-3.05,-11.89,30.00,0.83,0.80,0.80,BODY
E8E43EED503DE24E,-3.95,-11.58,30.20,0.59,0.58,0.58,BODY
7CEBF67DC639DCBB,-2.75,-12.10,30.40,0.84,0.83,0.81,BODY
43C6D525A70050B6,-4.09,-11.56,30.60,0.64,0.63,0.61,BODY
0AD514A1ED8DD100,-3.24,-11.93,30.00,0.83,0.80,0.80,BODY
CCBB99A086428BF2,-3.97,-11.86,30.20,0.59,0.59,0.59,BODY
0E199EEE80A58A86,-3.06,-11.49,30.40,0.83,0.80,0.80,BODY
EDD5F71A29CE7E9C,-4.49,-11.89,30.60,0.57,0.56,0.57,BODY
DCB253A929F74191,-3.10,-11.73,30.00,0.83,0.80,0.80,BODY
BD5B8DC2A8FDB300,-4.71,-11.78,30.20,0.55,0.54,0.55,BODY
0C6F99B1652F12C6,-3.18,-11.55,30.40,0.83,0.80,0.80,BODY
8D145B06507DB285,-4.76,-11.60,30.60,0.84,0.89,0.91,BODY
6EFBD7514C2F27C9,-3.53,-11.51,30.00,0.81,0.80,0.78,BODY
D99E67B6470F0892,-2.53,-11.75,30.20,0.81,0.78,0.78,BODY
273868A4A38F4ABC,-3.81,-11.67,30.40,0.78,0.77,0.75,BODY
DE78E380AC4BADFE,-2.58,-11.74,30.60,0.83,0.80,0.80,BODY
794BDDAAA916E684,-3.97,-11.50,30.00,0.74,0.71,0.71,BODY
3A6C1FA8528F2511,-2.86,-11.53,30.20,0.84,0.83,0.81,BODY
26259CFF001D5A86,-4.54,-11.71,30.40,0.60,0.61,0.60,BODY
20EE6A77C6C65985,-3.17,-11.17,30.60,0.84,0.81,0.81,BODY
42FD43A7D3CB3533,-4.80,-11.12,30.00,0.55,0.56,0.55,BODY
E8F34BEDB39C19C9,-3.50,-11.35,30.20,0.83,0.80,0.80,BODY
120EDC559BC3AC7E,-2.63,-11.15,30.40,0.87,0.81,0.84,BODY
79BE17927E11504F,-3.73,-11.29,30.60,0.80,0.78,0.76,BODY
3D91BFE17011989B,-2.79,-11.53,30.00,0.81,0.80,0.78,BODY
CB2028D9D0894069,-3.94,-11.56,30.20,0.78,0.75,0.74,BODY
464EB52B0FE43F1C,-2.95,-11.01,30.40,0.81,0.78,0.78,BODY
