ID,X,Y,Z,R,G,B,PART
BF3F96E618664F11,-1.89,-6.71,30.00,0.00,0.07,0.04,BODY
1A2B4C315AC72D48,2.40,-6.63,30.00,0.00,0.07,0.07,BODY
B10B56B161545B21,-1.19,-6.30,30.00,0.06,0.15,0.14,BODY
B64015C197712EA9,1.68,-6.42,30.00,0.00,0.05,0.03,BODY
17FD3405CF14831D,-2.34,-6.62,30.00,0.10,0.19,0.17,BODY
4BC4349EB187EB8D,-0.87,-6.31,30.00,0.02,0.07,0.06,BODY
3BE2FFBAE9867FD9,1.46,-6.33,30.00,0.00,0.03,0.02,BODY
5B15650345D44873,-2.22,-6.50,30.00,0.03,0.07,0.06,BODY
976FE9D1A4654B09,-0.94,-6.40,30.00,0.00,0.02,0.02,BODY
B65A28938B73A86F,1.74,-6.35,30.00,0.02,0.04,0.04,BODY
DBD722B4FBBD478F,-2.46,-6.76,30.00,0.00,0.01,0.00,BODY
6F79509B1A721F92,-1.45,-6.42,30.00,0.00,0.01,0.01,BODY
8FF54B17F5385FEF,1.60,-6.50,30.00,0.01,0.02,0.02,BODY
206B62FC1C93EC74,-2.32,-6.76,30.00,0.00,0.00,0.01,BODY
13D3744CA473903D,-1.52,-6.60,30.00,0.00,0.01,0.00,BODY
C7EFF3DDA4944AC2,1.76,-6.51,30.00,0.01,0.00,0.00,BODY
E4CC6B6895E5E022,-2.17,-6.36,30.00,0.00,0.04,0.04,BODY
78C2809DC7CA7107,-1.58,-6.15,30.00,0.00,0.00,0.00,BODY
B70A06A0108C03F6,1.58,-6.22,30.00,0.00,0.00,0.00,BODY
6A3931F31DF54CE4,2.73,-6.30,30.00,0.01,0.10,0.08,BODY
D8627E94B8E12559,-1.33,-6.21,30.00,0.00,0.00,0.00,BODY
0FFAB357C844447A,1.67,-6.40,30.00,0.00,0.00,0.00,BODY
EBE53BAF96D65CF0,2.19,-6.51,30.00,0.00,0.03,0.03,BODY
2EBFE1059EE1E639,-1.12,-6.19,30.00,0.01,0.01,0.02,BODY
9F19DFA4FA99F22F,1.27,-6.26,30.00,0.00,0.00,0.00,BODY
E3E3A6106485987F,2.31,-6.54,30.00,0.06,0.04,0.06,BODY
4FC95C3F4C2196DF,-1.53,-6.45,30.00,0.00,0.01,0.01,BODY
BA3B9D256A7ED05E,1.23,-6.14,30.00,0.01,0.00,0.00,BODY
08382077A1EDA19F,2.08,-6.09,30.00,0.03,0.00,0.02,BODY
42083F971371270C,-1.70,-6.28,30.00,0.00,0.01,0.00,BODY
0EEC64EE1B799601,1.41,-6.21,30.00,0.00,0.00,0.00,BODY
6B98C950A07C5F3A,2.05,-6.27,30.00,0.01,0.00,0.01,BODY
7C1899CDF26B37AA,-1.73,-6.28,30.00,0.00,0.01,0.00,BODY
90559DCECB9A18CF,1.17,-6.10,30.00,0.00,0.00,0.00,BODY
A5280EA306BC9C01,2.34,-6.31,30.00,0.02,0.01,0.02,BODY
8B038580A996BCEA,-1.19,-6.31,30.00,0.01,0.01,0.01,BODY
CEF9989EFB1DD6AD,1.42,-6.41,30.00,0.00,0.00,0.00,BODY
4F6B5FF269AC0DFE,2.33,-6.20,30.00,0.00,0.05,0.05,BODY
834B7A2D9EA836B4,-1.36,-6.40,30.00,0.01,0.01,0.01,BODY
11759462BC5911B0,1.18,-6.26,30.00,0.00,0.00,0.00,BODY
5C39A9003A046896,-2.48,-6.06,30.00,0.05,0.20,0.18,BODY
