ID,X,Y,Z,R,G,B,PART
3652EFC456F0A426,1.79,-6.95,29.85,0.70,0.68,0.69,BODY
4DB4BCACA72ED658,1.61,-7.04,30.00,0.22,0.14,0.16,BODY
93FB5A5B3E89B034,1.89,-7.15,30.15,0.12,0.04,0.06,BODY
0215908B93C095D4,2.45,-6.92,29.85,0.58,0.55,0.56,BODY
EFD1EF7D1D3DEC17,1.70,-7.02,30.00,0.12,0.09,0.09,BODY
D32F733F530E3631,-2.79,-6.72,29.85,0.51,0.49,0.49,BODY
3ECB8171FB12FACC,2.33,-6.91,30.00,0.14,0.09,0.10,BODY
D9D7E29B64008393,1.74,-6.76,30.15,0.15,0.11,0.12,BODY
22ED0D2885572F3A,3.02,-7.04,29.85,0.55,0.53,0.52,BODY
0DA6747A5B735D2E,2.05,-6.77,30.00,0.18,0.15,0.15,BODY
B63CCD8FE1A37994,-2.80,-6.80,29.85,0.06,0.06,0.05,BODY
819E31E8D779E6A2,2.40,-6.58,30.00,0.13,0.12,0.11,BODY
804DCD9D2E2EF4CA,-2.90,-6.61,30.15,0.03,0.04,0.04,BODY
4D12FE6DB8C6A08C,2.28,-6.86,29.85,0.09,0.10,0.09,BODY
02F454C1C4D83199,-2.68,-6.71,30.15,0.34,0.33,0.33,BODY
3796B306A66C7489,2.48,-6.75,29.85,0.08,0.07,0.07,BODY
E960E99F65B3C843,1.71,-6.48,30.00,0.14,0.14,0.15,BODY
818B078F84A8B53A,2.85,-6.68,30.15,0.11,0.05,0.05,BODY
E93655F217CBFC13,1.47,-6.71,29.85,0.15,0.15,0.15,BODY
B200C27AA0E3F2F3,3.17,-6.75,30.15,0.24,0.13,0.15,BODY
44189FEC795239A0,1.83,-6.81,29.85,0.15,0.15,0.15,BODY
0A7B1A92FFEE8358,-3.47,-6.66,30.00,0.29,0.23,0.25,BODY
FDC6D23722403E50,1.98,-6.70,30.15,0.12,0.12,0.11,BODY
F1E95C180C817FFC,-2.99,-6.43,30.00,0.04,0.06,0.04,BODY
50686829DE3AADCD,2.54,-6.80,30.15,0.16,0.16,0.15,BODY
815C88DA2FD1FF53,1.76,-6.66,29.85,0.05,0.05,0.05,BODY
5B669F5ECF1AE6F1,-3.00,-6.66,30.00,0.09,0.07,0.08,BODY
E64674CD7F6D9BDA,2.48,-6.31,30.15,0.16,0.13,0.10,BODY
B5449864BCAD3703,1.76,-6.60,30.00,0.08,0.08,0.07,BODY
045A713E1FB426A6,-2.68,-6.62,30.15,0.11,0.09,0.09,BODY
1D601F9ED343B8DE,-3.39,-6.20,29.85,0.08,0.08,0.08,BODY
571FF7858ADAAFE8,1.95,-6.32,30.00,0.16,0.15,0.10,BODY
FD163B25CD025D1E,1.82,-6.52,30.15,0.08,0.08,0.08,BODY
FFBAA0B71A9B14B9,1.34,-6.38,30.00,0.14,0.14,0.14,BODY
715E56A9990C2179,-3.19,-6.09,30.15,0.05,0.07,0.05,BODY
25DA05DA1054210E,2.21,-6.37,29.85,0.47,0.46,0.43,BODY
A9A4A549B239D1D5,1.42,-6.48,30.00,0.04,0.04,0.03,BODY
37778BC32D7B3795,-3.46,-6.09,29.85,0.05,0.07,0.06,BODY
12D67A81FD6E13E3,2.04,-6.05,30.00,0.52,0.51,0.42,BODY
2A67A80F7C949379,1.49,-6.11,30.15,0.13,0.13,0.14,BODY
6067A24807FE06F8,-3.33,-6.03,29.85,0.13,0.05,0.08,BODY
6410E96D373B3897,1.91,-6.41,30.00,0.07,0.07,0.06,BODY
904D5A9E2433A957,-3.20,-6.05,29.85,0.05,0.05,0.05,BODY
E9A772F51F26A721,-4.08,-6.21,30.00,0.18,0.07,0.10,BODY
66C60AB453D628C3,1.26,-5.96,30.15,0.04,0.04,0.04,BODY
2B8B64B279C31DC9,-3.58,-6.32,29.85,0.07,0.07,0.07,BODY
1E33E3C9A413BB01,1.78,-6.26,30.15,0.13,0.13,0.10,BODY
F22C04CCFFC44F78,-2.75,-6.17,29.85,0.21,0.22,0.20,BODY
721614A745160AB8,-3.76,-6.01,30.00,0.09,0.09,0.08,BODY
BDE26E5CF9E94C22,1.55,-5.82,30.15,0.08,0.07,0.08,BODY
E378FD4F3ECE56EB,-2.70,-6.02,29.85,0.11,0.11,0.10,BODY
687522B2C4F0DC34,-3.84,-6.25,30.15,0.15,0.12,0.11,BODY
4AA2B333B87477C8,1.44,-5.97,29.85,0.06,0.06,0.07,BODY
AEA9BFC2133BE4D5,-2.86,-6.03,30.00,0.05,0.07,0.05,BODY
9341C1B7758524C1,-4.01,-5.89,30.15,0.23,0.24,0.21,BODY
D6332EACE8F00A81,1.47,-5.94,29.85,0.04,0.04,0.04,BODY
BC42667564F08D3C,-3.09,-5.92,30.15,0.07,0.07,0.07,BODY
B61FD76FC99E98F3,1.74,-6.03,29.85,0.11,0.10,0.08,BODY
31371BAD0CB4D152,0.98,-5.67,30.00,0.06,0.06,0.06,BODY
0BB106E74A6A691B,-3.54,-6.03,30.15,0.04,0.04,0.05,BODY
D97301261C28F9F8,1.86,-6.01,30.00,0.05,0.05,0.05,BODY
5525AB86749C91DE,-2.77,-5.90,30.15,0.35,0.35,0.35,BODY
A062F4417B4324E8,-3.80,-5.78,29.85,0.14,0.11,0.13,BODY
3FF67BB0893A6A8E,1.39,-5.75,30.00,0.07,0.07,0.08,BODY
C49CF824A4A1AC18,-3.46,-5.85,30.15,0.05,0.05,0.06,BODY
8EBE80084B09FC29,2.07,-5.52,30.00,0.06,0.06,0.04,BODY
