ID,X,Y,Z,R,G,B,PART
175F4D218504AF85,-3.04,-11.17,30.00,0.00,0.00,0.00,BODY
4277B00BC0429784,4.21,-10.76,30.80,0.00,0.01,0.02,BODY
34FDDC9932F04975,-2.16,-10.92,31.60,0.16,0.20,0.19,BODY
AD9A79C857DC1F3B,3.07,-10.79,32.40,0.04,0.09,0.09,BODY
13CB70B82630B57B,-3.31,-10.93,30.00,0.04,0.09,0.09,BODY
D3326EC9B07F1A96,-1.91,-11.15,30.80,0.00,0.02,0.00,BODY
AC8BBD2A3E934B93,3.02,-11.23,31.60,0.04,0.09,0.09,BODY
63EF22C12C97DB3D,-3.36,-11.17,32.40,0.02,0.06,0.04,BODY
66BA212B7D0EE7FC,-2.10,-10.87,30.00,0.00,0.02,0.00,BODY
596DCE15946739EE,2.93,-11.20,30.80,0.02,0.05,0.04,BODY
5D8412B057EC9540,-3.71,-10.88,31.60,0.00,0.02,0.00,BODY
2EA7917A186031DD,-2.02,-10.95,32.40,0.00,0.02,0.00,BODY
3F0FAD4204A320B0,2.88,-10.96,30.00,0.00,0.02,0.00,BODY
18FAA624096723ED,-3.68,-10.89,30.80,0.01,0.00,0.01,BODY
CC54A5A6A5651031,-2.01,-10.51,31.60,0.00,0.00,0.00,BODY
C0EF9839A9ED8917,2.33,-10.63,32.40,0.00,0.00,0.00,BODY
21E22A21B2FF3B12,-4.02,-10.61,30.00,0.00,0.03,0.03,BODY
31C40072CBEB9A86,-2.27,-10.45,30.80,0.00,0.00,0.00,BODY
8643B96277E8DE8B,2.26,-10.66,31.60,0.00,0.00,0.00,BODY
0627BE2A9A4F1BE1,4.00,-10.76,32.40,0.02,0.07,0.06,BODY
2900ECF6CDDC96DD,-2.41,-10.69,30.00,0.00,0.00,0.00,BODY
5B5740D750497BA5,2.47,-10.72,30.80,0.00,0.00,0.00,BODY
AA2CF76EE01A9785,4.29,-10.62,31.60,0.02,0.07,0.06,BODY
0877DFD3C47DFFDB,-2.29,-10.74,32.40,0.00,0.00,0.01,BODY
0F3A223BB1452B1A,2.01,-10.86,30.00,0.00,0.00,0.00,BODY
498D54795A76A025,3.57,-10.52,30.80,0.04,0.04,0.05,BODY
E1D379468F0ADFB6,-2.50,-10.65,31.60,0.00,0.00,0.00,BODY
AD799E886DFC6586,2.19,-10.79,32.40,0.00,0.00,0.00,BODY
3C81FEBDD36D1239,4.03,-10.66,30.00,0.03,0.00,0.00,BODY
DAF8620BE50371C2,-2.74,-10.73,30.80,0.00,0.00,0.00,BODY
3A6E5E68D1030247,2.01,-10.82,31.60,0.02,0.00,0.00,BODY
C41D07CFC74B53DC,3.59,-10.40,32.40,0.00,0.00,0.00,BODY
89EEACC0C095B58F,-2.56,-10.33,30.00,0.00,0.00,0.00,BODY
DA4F1FD9DB1A7B6A,1.69,-10.74,30.80,0.01,0.00,0.00,BODY
A0A0FA6F8F52C6DC,3.92,-10.69,31.60,0.01,0.00,0.00,BODY
F8A6A2304AFE2EA7,-2.52,-10.17,32.40,0.00,0.00,0.00,BODY
4349EE1BF88D9C0B,1.89,-10.45,30.00,0.00,0.02,0.00,BODY
30CD58FC3B25CA56,3.50,-10.18,30.80,0.01,0.00,0.00,BODY
