ID,X,Y,Z,R,G,B,PART
B62C78B075A42D22,-5.57,-11.45,30.00,0.30,0.34,0.54,BODY
FDCFCC73F03F89D4,-5.73,-11.08,30.80,0.19,0.51,0.94,BODY
6576512218CCEFF6,-5.75,-10.79,31.60,0.09,0.35,0.91,BODY
AEAF1E8AB82A1F46,-5.07,-10.99,32.40,0.54,0.51,0.75,BODY
B80FD29B6984D8EE,5.15,-11.14,30.00,0.73,0.61,0.69,BODY
3F942356BD7AB5E5,-5.19,-10.64,30.80,0.31,0.44,0.84,BODY
87C0410E2539BF13,4.54,-10.64,31.60,0.39,0.44,0.68,BODY
C18E492C71795716,4.70,-10.52,32.40,0.13,0.29,0.52,BODY
ACD47D8B64948D76,4.94,-10.50,30.00,0.90,0.77,0.77,BODY
D3D4A6512D97DC9A,-5.40,-10.64,30.80,0.35,0.59,1.00,BODY
CBB8E2E365122FD5,-5.16,-10.59,31.60,0.32,0.59,1.00,BODY
5DE6D3309DDB525B,-5.04,-10.71,32.40,0.25,0.50,0.93,BODY
E4D949759510B24A,-5.31,-10.25,30.00,0.16,0.33,0.78,BODY
04DD62E239ED8551,-5.17,-10.17,30.80,0.30,0.44,0.84,BODY
D9ABCB4B53C8F07D,-5.05,-10.30,31.60,0.35,0.58,0.97,BODY
D2CFCE53E3C719B2,-5.29,-10.07,32.40,0.22,0.49,0.91,BODY
832C62038EDF5469,-5.40,-10.37,30.00,0.42,0.56,0.94,BODY
448AF0B55E0EB38B,5.24,-10.17,30.80,0.82,0.69,0.77,BODY
536CBCB23EE613E5,4.86,-10.20,31.60,0.87,0.83,0.87,BODY
C00FA205C6A225CC,4.31,-9.90,32.40,0.65,0.70,0.91,BODY
F2F3A862CBCDA964,4.25,-9.85,30.00,0.43,0.45,0.50,BODY
2CAEF3F92323274E,-4.73,-9.99,30.80,0.58,0.57,0.84,BODY
80B827D1B887B71C,-4.96,-10.25,31.60,0.16,0.27,0.68,BODY
8B28A6828453C69F,-5.08,-9.62,32.40,0.61,0.73,1.00,BODY
B2F015FED7EEC763,5.01,-9.98,30.00,0.80,0.68,0.80,BODY
0123BD40FB4CF46A,4.37,-10.09,30.80,0.45,0.51,0.55,BODY
D8702CCA80A65C49,-4.56,-9.75,31.60,0.67,0.42,0.51,BODY
56E4DEADCAA58FA8,-5.03,-10.04,32.40,0.16,0.30,0.71,BODY
7DBFF2577A976A2A,4.68,-9.97,30.00,0.87,0.80,0.91,BODY
26E77E40712E068F,-3.03,-9.47,30.80,0.43,0.40,0.53,BODY
FF73FBFD4AFD03F2,-5.19,-9.47,31.60,0.58,0.68,1.00,BODY
59E24E5202016944,4.32,-9.43,32.40,0.71,0.76,0.97,BODY
3A415010DD7E1E5D,-4.50,-9.70,30.00,0.74,0.46,0.55,BODY
CCAEEF5DF3F04801,4.65,-9.53,30.80,0.94,0.87,0.94,BODY
4CFFA4790AB4ACB3,-3.36,-9.42,31.60,0.38,0.48,0.73,BODY
11A5134CC9600FB8,-5.30,-9.58,32.40,0.03,0.35,0.91,BODY
51C56C2E45086E4D,-3.12,-9.69,30.00,0.86,0.72,0.77,BODY
F510730C0D9C5846,-5.07,-9.57,30.80,0.68,0.71,1.00,BODY
6955BDD9AC483C74,3.55,-9.37,31.60,0.25,0.33,0.62,BODY
149F1E465466A740,-4.66,-9.56,32.40,0.44,0.52,0.84,BODY
CD89D9388E2D9A04,4.22,-9.24,30.00,0.81,0.84,1.00,BODY
8040743B40870382,-4.16,-9.06,30.80,0.72,0.64,0.86,BODY
11B3383533CFB678,3.88,-9.41,31.60,0.81,0.84,1.00,BODY
12EEF5962374736F,-4.01,-9.42,32.40,0.87,0.71,0.91,BODY
8036482FDBCE21CC,3.78,-9.22,30.00,0.48,0.53,0.82,BODY
8856656FA781B701,-4.58,-8.96,30.80,0.57,0.58,0.82,BODY
FD8AC03A51240E41,2.82,-9.03,31.60,0.35,0.35,0.46,BODY
D2674E28ACC0B759,-4.92,-9.04,32.40,0.62,0.67,0.93,BODY
D9ABCE670FDE39A8,2.86,-9.33,30.00,0.09,0.32,0.68,BODY
41050614E18860A6,-4.94,-9.09,30.80,0.30,0.40,0.70,BODY
D0D334C4F77B8A89,-3.53,-9.41,31.60,0.84,0.73,0.84,BODY
9372E4E8C99FFD2C,4.35,-9.30,32.40,0.48,0.43,0.42,BODY
C714CAA0BFDF838F,-3.99,-9.15,30.00,0.64,0.52,0.72,BODY
63D87C0E18046B82,3.01,-8.96,30.80,0.42,0.44,0.65,BODY
7A6F12BDB2D0CC8B,-4.66,-8.91,31.60,0.34,0.45,0.85,BODY
4E31699E247DE549,-3.35,-9.30,32.40,0.97,0.86,0.91,BODY
10A55755FEA5DFDA,3.59,-9.04,30.00,0.58,0.64,0.91,BODY
97695C439530F875,-4.22,-8.97,30.80,0.58,0.67,0.94,BODY
22331497A4C80A97,-0.59,-9.24,31.60,0.35,0.30,0.48,BODY
FD110D75802211B7,4.12,-8.92,32.40,0.65,0.58,0.71,BODY
E90BAB3207815FC9,-3.93,-9.00,30.00,0.29,0.33,0.71,BODY
A7CABCE6ECC15EF7,2.28,-8.91,30.80,0.35,0.43,0.70,BODY
D0C90CCD2B444335,4.12,-8.97,31.60,0.81,0.81,0.84,BODY
344040D3717B8BE4,-3.70,-9.07,32.40,0.94,0.81,0.84,BODY
750BAA5D43CCFC61,2.76,-8.63,30.00,0.16,0.49,0.94,BODY
629C9E6955CE1D6A,4.45,-9.03,30.80,0.45,0.39,0.56,BODY
F9E07C7E6AA303E9,-3.23,-8.89,31.60,1.00,0.86,0.91,BODY
D83B58D987447843,3.19,-8.85,32.40,0.29,0.38,0.68,BODY
629227D578689B9D,-4.46,-8.99,30.00,0.41,0.55,0.91,BODY
0FD408FB36DF5513,-3.20,-8.52,30.80,0.65,0.59,0.64,BODY
6A47E34A65FD4265,3.23,-8.54,31.60,0.45,0.51,0.78,BODY
900B37B3C0D98871,-4.58,-8.74,32.40,0.65,0.73,1.00,BODY
FDD0A72A8906A9F6,-1.35,-8.76,30.00,0.24,0.37,0.69,BODY
4D76A8900D20A539,3.44,-8.63,30.80,0.57,0.41,0.54,BODY
9FB651DE1AE3ED6C,-4.62,-8.77,31.60,0.67,0.71,0.98,BODY
771BD9606D6BDFEC,-1.22,-8.63,32.40,0.35,0.47,0.84,BODY
46706A0B900EB158,3.47,-8.93,30.00,0.59,0.49,0.65,BODY
934423D4FEB622F6,-4.38,-8.46,30.80,0.33,0.41,0.83,BODY
CC17F58381F7FB7C,-0.93,-8.42,31.60,0.61,0.67,0.97,BODY
15F1DEFB46D853D2,3.71,-8.42,32.40,0.61,0.57,0.84,BODY
722C13C539FC04AC,-4.35,-8.71,30.00,0.71,0.75,0.97,BODY
82858A0330D493D1,-0.99,-8.75,30.80,0.72,0.66,0.83,BODY
584A3EDE0E98F098,3.61,-8.30,31.60,0.81,0.87,0.97,BODY
0B8570DD9885A324,-4.15,-8.61,32.40,0.71,0.75,0.97,BODY
B47F46EA55E5595B,-0.69,-8.31,30.00,0.43,0.43,0.70,BODY
430588DC37DBB3B8,3.32,-8.75,30.80,0.24,0.41,0.75,BODY
F14D1B90A9166381,-5.12,-8.77,31.60,0.20,0.27,0.44,BODY
B7815DCCEE2826B8,-3.14,-8.76,32.40,1.00,0.95,0.97,BODY
AF8B359351DF91B0,-0.54,-8.80,30.00,1.00,0.89,0.94,BODY
2000CB2AFA786243,3.43,-8.33,30.80,0.35,0.32,0.61,BODY
5C8B8DF504293F46,-4.56,-8.37,31.60,0.45,0.57,0.91,BODY
D6B4ECE77EB1A9D2,-1.93,-8.29,32.40,0.33,0.36,0.47,BODY
BF9DE38FB9E4CC11,0.48,-8.55,30.00,0.42,0.46,0.71,BODY
730EF5640F11F921,3.35,-8.74,30.80,0.81,0.87,0.97,BODY
127ECC366EBACA05,-4.36,-8.54,31.60,0.41,0.54,0.86,BODY
B9CB80E2A30730C4,-1.88,-8.30,32.40,0.42,0.44,0.65,BODY
C7C257335D219CE9,0.11,-8.12,30.00,0.55,0.54,0.71,BODY
AABA6285E2F4E713,3.63,-8.25,30.80,0.72,0.73,0.76,BODY
DE9659FC71CAA7DD,-4.45,-8.13,31.60,0.20,0.34,0.72,BODY
7265FAF21787DFBD,-1.49,-8.60,32.40,0.51,0.53,0.74,BODY
18895E9C9BDDC87C,0.45,-8.18,30.00,0.55,0.54,0.71,BODY
AC91D68761DFA8E5,3.69,-8.27,30.80,0.78,0.81,0.97,BODY
2F4581D51500E00B,-4.93,-8.35,31.60,0.22,0.38,0.67,BODY
B27E532F49D0E06D,-1.97,-8.18,32.40,0.55,0.52,0.67,BODY
25457A901834A487,0.44,-8.42,30.00,0.16,0.44,0.84,BODY
1A797EA50FDE0A1D,3.37,-8.51,30.80,0.64,0.65,0.86,BODY
8F07876F718BA9FE,-5.00,-8.31,31.60,0.35,0.53,0.84,BODY
9A4B6AB4D3E1569F,-1.80,-8.52,32.40,0.09,0.38,0.91,BODY
DFF332061B442C08,0.11,-7.96,30.00,0.29,0.52,0.90,BODY
C84014ED92547447,3.37,-8.35,30.80,0.52,0.56,0.81,BODY
0F43C3344900447E,-5.14,-8.17,31.60,0.25,0.42,0.72,BODY
79BEB39A8B2079D1,-1.87,-8.01,32.40,0.13,0.27,0.58,BODY
14C5249FE1011357,-0.55,-8.09,30.00,0.91,0.86,0.94,BODY
C955D31FF2629B41,2.64,-8.43,30.80,0.39,0.62,0.84,BODY
2715D54E2997862E,-5.39,-8.37,31.60,0.03,0.30,0.68,BODY
367323C15E12498A,-3.76,-8.18,32.40,0.58,0.62,0.89,BODY
7A8076C113F389EA,-0.74,-8.27,30.00,0.78,0.71,0.91,BODY
CB05EE16DA7CA8CF,1.20,-8.28,30.80,0.35,0.45,0.68,BODY
6D179E63C6ED3A7F,3.76,-8.08,31.60,0.74,0.76,0.87,BODY
0C7C0D5E7EE320DB,-4.91,-8.23,32.40,0.41,0.61,0.82,BODY
2712A1209B3B537E,-1.85,-8.11,30.00,0.36,0.45,0.80,BODY
7C0A92F5D5CB3A79,0.09,-8.21,30.80,0.42,0.64,1.00,BODY
0BDACBBA3439862C,3.20,-8.07,31.60,0.29,0.57,0.94,BODY
E0FF8F59D7D60490,-5.39,-8.00,32.40,0.27,0.55,0.87,BODY
09445AA3527B47ED,-3.68,-8.14,30.00,0.38,0.48,0.83,BODY
D6192E1D9599C13A,-0.95,-8.16,30.80,0.55,0.47,0.61,BODY
FE3B346C788F750F,0.81,-8.14,31.60,0.45,0.45,0.64,BODY
AEF8AB0C79852BF7,3.77,-7.96,32.40,0.61,0.71,0.89,BODY
F030808B23E8FBB7,-4.94,-8.20,30.00,0.65,0.83,1.00,BODY
325339A7F8C12987,-1.93,-7.95,30.80,0.35,0.57,1.00,BODY
6C93F7A5AD3D3662,-0.62,-7.98,31.60,0.71,0.67,0.81,BODY
CD9C3D27CE95BBAA,1.63,-7.82,32.40,0.74,0.64,0.74,BODY
35EFB1B05C472DB0,4.56,-7.74,30.00,0.77,0.73,0.77,BODY
9124F3C907211940,-4.48,-8.01,30.80,0.64,0.75,0.95,BODY
B588E44F2C208806,-1.70,-7.69,31.60,0.68,0.65,0.81,BODY
8E02E57FD018EDCD,0.73,-8.01,32.40,0.19,0.46,0.84,BODY
286423AC44B4AAD3,3.08,-7.97,30.00,0.94,0.87,0.97,BODY
90847FAB3AC565A2,-5.66,-7.85,30.80,0.36,0.61,0.89,BODY
03222C6A0DBD0247,-4.08,-7.99,31.60,0.55,0.64,0.91,BODY
20F376CDCCEFF677,-0.84,-8.14,32.40,0.86,0.76,0.89,BODY
CE3D5F536C8DF26E,1.08,-8.01,30.00,0.48,0.60,0.78,BODY
7B9A08CC8F9AA52E,3.92,-8.03,30.80,0.39,0.35,0.35,BODY
DD096EB1DD9E22FA,-4.75,-8.12,31.60,0.51,0.71,0.94,BODY
429EDD22619C80B1,-2.12,-7.84,32.40,0.24,0.38,0.67,BODY
5A2A5DA7F9C89A88,-0.71,-7.58,30.00,0.84,0.80,0.87,BODY
9574D8289226FAA8,1.46,-8.15,30.80,0.74,0.64,0.74,BODY
DD7C4A3D2B05F2F4,4.46,-8.15,31.60,0.58,0.62,0.65,BODY
77D2FCFDA26A2B32,-4.12,-7.71,32.40,0.46,0.57,0.89,BODY
05446CBE6F808071,-1.61,-7.57,30.00,0.35,0.52,0.85,BODY
95510240C2FB481D,0.47,-7.58,30.80,0.47,0.49,0.74,BODY
172735B40A23CFBE,3.39,-7.58,31.60,0.59,0.49,0.60,BODY
096930F7D27B9773,-5.21,-7.52,32.40,0.65,0.84,1.00,BODY
592DBE55F6917BAA,-3.58,-7.65,30.00,0.19,0.29,0.78,BODY
F459EA40289D511F,-1.05,-7.99,30.80,0.94,0.86,0.94,BODY
367EA7A86D80DEC0,1.35,-8.05,31.60,0.87,0.86,0.97,BODY
55330231AF089831,4.39,-7.59,32.40,0.81,0.80,0.86,BODY
F52EDFC09F57C5F2,-4.73,-7.98,30.00,1.00,0.98,1.00,BODY
5B2D57530B19A06C,-1.55,-7.46,30.80,0.39,0.67,1.00,BODY
4E9C9C03CBA81A79,0.07,-7.80,31.60,0.48,0.65,0.97,BODY
D2E8A51C879025EB,2.87,-7.84,32.40,0.71,0.71,0.94,BODY
9B60CBB162163493,5.10,-7.58,30.00,0.94,0.87,0.97,BODY
41782540162D5C67,-3.62,-7.37,30.80,0.29,0.40,0.78,BODY
4BE536B3CB967619,-1.04,-7.54,31.60,0.80,0.75,0.89,BODY
A8668848375AB58B,1.40,-7.38,32.40,0.29,0.30,0.58,BODY
CB898F70E9A23E30,3.89,-7.80,30.00,0.91,0.94,0.97,BODY
8F9F8F50B510756E,-4.81,-7.63,30.80,0.94,0.95,1.00,BODY
79BDAD621A92EAF9,-1.59,-7.63,31.60,0.22,0.42,0.76,BODY
0C14062729915ECF,0.57,-7.50,32.40,0.32,0.56,0.94,BODY
8026F24451F78EF2,3.63,-7.34,30.00,0.39,0.32,0.39,BODY
FC9F57FF11BD7438,-5.23,-7.58,30.80,0.68,0.78,0.91,BODY
23D1CB3170ACC416,-2.11,-7.32,31.60,0.35,0.57,0.87,BODY
349E4FBBD07C7079,0.20,-7.52,32.40,0.22,0.52,0.84,BODY
8081AE6B4EF10E72,3.07,-7.40,30.00,0.46,0.43,0.64,BODY
6213842757EDA45D,4.69,-7.70,30.80,1.00,0.97,1.00,BODY
9876D23C51A5F737,-3.29,-7.46,31.60,0.56,0.46,0.69,BODY
CFC6DC507C89A08D,0.36,-7.41,32.40,0.32,0.60,0.90,BODY
7DA51658EF37DE20,2.89,-7.65,30.00,0.27,0.34,0.62,BODY
995CFE606A1221A2,4.75,-7.47,30.80,1.00,0.97,1.00,BODY
25D45DEEE6209253,-1.83,-7.25,31.60,0.22,0.42,0.76,BODY
C88921935DC5D6E7,0.56,-7.33,32.40,0.52,0.60,0.91,BODY
B1D8C34B83FE717A,3.15,-7.21,30.00,0.71,0.62,0.78,BODY
3AFB1BB3DB4B4BB5,-4.25,-7.53,30.80,0.34,0.55,0.91,BODY
A610F2243C9219E2,-1.50,-7.19,31.60,0.80,0.71,0.91,BODY
C04B46E7DDB79AEF,1.17,-7.23,32.40,0.87,0.84,0.97,BODY
2C540E2467259BF2,3.92,-7.24,30.00,0.71,0.78,1.00,BODY
E7FBE435B3422404,-3.28,-7.59,30.80,0.13,0.46,0.97,BODY
3523DFD2EB36974E,-1.05,-7.29,31.60,0.71,0.51,0.58,BODY
919F885EBEECA503,1.29,-7.34,32.40,0.94,0.89,0.94,BODY
7EB8D951574071F6,4.25,-7.39,30.00,0.91,0.92,1.00,BODY
3918E340ED0A0679,-2.95,-7.55,30.80,0.52,0.41,0.58,BODY
F63331A346B021E4,0.24,-7.22,31.60,0.30,0.38,0.60,BODY
1489864E37135720,3.03,-7.24,32.40,0.59,0.56,0.78,BODY
0E52EBC71E60838A,4.83,-7.07,30.00,0.55,0.55,0.64,BODY
0C7DF03D287D954B,-2.14,-7.42,30.80,0.32,0.38,0.71,BODY
76F58006DF7DF90C,0.38,-7.29,31.60,0.31,0.58,0.91,BODY
9BF8BE17952E883B,3.15,-7.23,32.40,0.61,0.52,0.67,BODY
8C4D721590A24DDE,-2.89,-7.33,30.00,0.65,0.33,0.45,BODY
3F1D41B2B8B95932,0.17,-7.34,30.80,0.55,0.73,0.97,BODY
91E7EDE31319E49E,2.68,-7.49,31.60,0.97,0.91,0.91,BODY
AFF39A807C17BF6D,-3.15,-7.44,32.40,0.17,0.42,0.91,BODY
8C1F1FBE2B3B03BD,-1.13,-6.86,30.00,0.80,0.83,0.90,BODY
0AE149E26A39C7B3,1.70,-7.27,30.80,0.46,0.36,0.41,BODY
46FFEA6190879BF4,-3.50,-6.99,31.60,0.58,0.53,0.84,BODY
0B44604BFE1B05CA,-1.19,-6.82,32.40,0.51,0.42,0.54,BODY
A838A7AE3DE04B38,1.03,-6.97,30.00,0.63,0.65,0.90,BODY
111000BA63099CB5,3.59,-6.95,30.80,0.61,0.52,0.69,BODY
708F4B4A05A7B70E,-1.94,-7.09,31.60,0.55,0.53,0.78,BODY
C8F7C6F497665BE4,0.55,-7.10,32.40,0.55,0.68,1.00,BODY
2EAE4FC2930CB63C,3.14,-7.00,30.00,0.16,0.14,0.42,BODY
C64E9FB75A924143,-2.70,-6.72,30.80,0.84,0.69,0.80,BODY
11B636C71B96D543,0.64,-6.82,31.60,0.45,0.64,0.94,BODY
D89DDA4DE5CE1D18,2.81,-6.73,32.40,0.86,0.79,0.83,BODY
D8B052D34404F7DD,-3.29,-6.73,30.00,0.67,0.69,0.93,BODY
BC1CA1354ED59634,-0.91,-6.76,30.80,0.82,0.76,0.89,BODY
8F416DF80DA99EFC,2.25,-6.69,31.60,0.32,0.33,0.61,BODY
D11389302C8558C8,-3.50,-7.07,32.40,0.54,0.38,0.70,BODY
68726E0EA9F49D00,-1.28,-6.70,30.00,0.81,0.75,0.88,BODY
07F90BEE0EED10F0,1.73,-6.99,30.80,0.87,0.78,0.86,BODY
F2F52AD6C8DFE26A,-4.05,-7.12,31.60,0.38,0.44,0.72,BODY
1F19BEA96B4B2A79,-1.46,-6.94,32.40,0.48,0.41,0.65,BODY
A8BD7B09A7E9D2E8,1.11,-6.58,30.00,0.36,0.42,0.71,BODY
6275D9371D72CAA2,3.34,-6.64,30.80,0.67,0.58,0.80,BODY
434D7D86705FB3B3,-1.90,-6.76,31.60,0.64,0.60,0.82,BODY
D44D5A7E358D51D0,1.03,-6.92,32.40,0.49,0.66,0.95,BODY
B6DA734114CACA08,3.07,-6.66,30.00,0.06,0.08,0.42,BODY
04185AF77F87910C,-2.04,-6.94,30.80,0.27,0.27,0.56,BODY
E8B05EA3FA4EC823,0.74,-6.51,31.60,0.61,0.83,0.97,BODY
0805082F75BED48F,3.16,-6.69,32.40,0.71,0.64,0.78,BODY
BF8F484A940916CC,-1.98,-6.41,30.00,0.42,0.43,0.59,BODY
68F05B097A7DCE33,0.47,-6.82,30.80,0.38,0.65,0.88,BODY
00F37FDCC51BBB86,2.83,-6.53,31.60,0.65,0.56,0.61,BODY
36EC065B8B364F31,-2.61,-6.73,32.40,0.47,0.36,0.62,BODY
FF52B6569BD667E5,0.51,-6.56,30.00,0.26,0.46,0.87,BODY
FF2BC52EA7F9E439,2.81,-6.48,30.80,0.94,0.94,0.97,BODY
84E3320694FD0060,-2.96,-6.57,31.60,0.16,0.51,0.94,BODY
2E7F2A5F674CBD85,-1.00,-6.38,32.40,0.81,0.64,0.84,BODY
A23CCB938241F10C,2.29,-6.75,30.00,0.41,0.42,0.70,BODY
DE90CC2E93677DDA,-3.49,-6.82,30.80,0.32,0.35,0.91,BODY
DC12C01374BDEB21,-1.35,-6.60,31.60,0.97,0.91,0.87,BODY
7284901C3437A9F6,2.11,-6.82,32.40,0.28,0.30,0.53,BODY
3AF562D9F393D2B2,-3.59,-6.70,30.00,0.78,0.57,0.74,BODY
B78B5F87FD72843A,-1.12,-6.58,30.80,0.87,0.83,0.86,BODY
3E7B2FAE65C96201,1.62,-6.54,31.60,0.26,0.14,0.22,BODY
3C19A4C1E11D8AC6,-3.70,-6.61,32.40,0.58,0.49,0.74,BODY
6EF7208A0024F911,-1.81,-6.58,30.00,0.78,0.71,0.88,BODY
C8C2D444450F6404,1.72,-6.75,30.80,0.65,0.57,0.65,BODY
594A1AFF5E53014D,-3.31,-6.18,31.60,0.65,0.57,0.81,BODY
A1C625AE1281EDCD,-1.84,-6.34,32.40,0.42,0.47,0.71,BODY
2DF6E7B3F2BFB499,1.49,-6.58,30.00,0.67,0.59,0.69,BODY
6595C4DBEEEC33BB,-3.42,-6.19,30.80,0.47,0.44,0.74,BODY
9BC457275E69D41A,-1.83,-6.31,31.60,0.42,0.32,0.55,BODY
7254377E20191890,1.44,-6.62,32.40,0.61,0.70,0.94,BODY
3F51E759B538C9D2,-5.23,-6.33,30.00,0.58,0.62,0.87,BODY
AE6072C268DA258D,-2.13,-6.01,30.80,0.52,0.40,0.61,BODY
DFCF270BECFE7392,1.58,-6.24,31.60,0.29,0.43,0.78,BODY
248D04B0994F86E9,-5.41,-6.33,32.40,0.32,0.44,0.71,BODY
350542963B321D6C,-2.09,-6.17,30.00,0.25,0.21,0.40,BODY
565C1D20F6059CD2,1.22,-6.12,30.80,0.29,0.49,0.87,BODY
