ID,X,Y,Z,R,G,B,PART
E1376749677EB4A3,14.82,-7.98,30.00,0.80,0.94,1.00,BODY
3AD712C52BEA49E8,17.19,-7.59,30.20,0.72,0.91,1.00,BODY
42156EF7F80D068F,15.06,-7.72,30.40,0.80,0.94,1.00,BODY
E57B41A424052B87,16.75,-7.66,30.60,0.72,0.91,1.00,BODY
B3B659737ADAD42A,14.91,-7.23,30.00,0.72,0.91,1.00,BODY
04C105B9B18CBFB7,15.83,-7.67,30.20,0.72,0.91,1.00,BODY
4A536883CB3B8BA5,17.11,-7.30,30.40,0.72,0.91,1.00,BODY
481883DB3E641716,14.96,-7.52,30.60,0.73,0.92,1.00,BODY
F45391B6DF7536B6,0.30,-7.21,30.00,1.00,0.80,0.28,BODY
90B75D1BCA05B447,15.16,-7.14,30.20,0.73,0.92,1.00,BODY
CFEF189CD1964375,-13.66,-7.06,30.40,1.00,0.80,0.29,BODY
95108453ABAC4537,-3.76,-7.00,30.60,1.00,0.80,0.28,BODY
5A0BEA0DD7E1DF3D,4.42,-7.27,30.00,1.00,0.80,0.29,BODY
7D842F5983EA7D60,15.66,-7.15,30.20,0.72,0.91,1.00,BODY
5905F2ED5B5C5AEC,-13.04,-7.29,30.40,1.00,0.80,0.29,BODY
9866C15CA846057B,-5.66,-6.83,30.60,1.00,0.80,0.29,BODY
92170496A05B06C6,0.12,-6.94,30.00,1.00,0.80,0.29,BODY
E400B1D18612BD23,5.64,-6.81,30.20,1.00,0.80,0.29,BODY
E62D7407DD9CD80F,17.12,-6.87,30.40,0.72,0.91,1.00,BODY
B1DF41053E73C09E,-12.73,-7.30,30.60,1.00,0.80,0.29,BODY
F86FCE52560DC090,-5.63,-6.79,30.00,1.00,0.80,0.29,BODY
C6BFCE45076185D4,-2.54,-7.03,30.20,1.00,0.80,0.29,BODY
30B59E6F7086D12E,4.06,-7.32,30.40,1.00,0.80,0.29,BODY
0C59BE668AF2ADA0,10.50,-7.27,30.60,1.00,0.80,0.29,BODY
22669487A13B2800,17.34,-6.86,30.00,0.72,0.91,1.00,BODY
489BAFEBB93A349C,-13.15,-6.97,30.20,1.00,0.80,0.29,BODY
B598DEC9B2164221,-5.82,-6.99,30.40,1.00,0.80,0.29,BODY
729CA79904E8F245,-3.08,-7.25,30.60,1.00,0.80,0.29,BODY
4C46BA580CDAC72C,0.10,-6.90,30.00,1.00,0.80,0.29,BODY
2C453B25967739DB,5.55,-6.83,30.20,1.00,0.80,0.29,BODY
04766FE3C3964E07,14.91,-7.10,30.40,0.72,0.91,1.00,BODY
C85BAF40EEA26E3E,-14.61,-6.87,30.60,1.00,0.80,0.29,BODY
E5DE6A77D1F6CDB6,-12.13,-7.01,30.00,1.00,0.80,0.29,BODY
753393F0B0C6863A,-5.76,-6.68,30.20,1.00,0.80,0.29,BODY
49FC03EBD0651585,-2.16,-7.23,30.40,1.00,0.80,0.29,BODY
68809F76CFE3F8BC,0.23,-7.18,30.60,1.00,0.80,0.29,BODY
9B0BA3AA214846E1,5.78,-6.88,30.00,1.00,0.80,0.29,BODY
29C5250863C484D2,15.31,-6.91,30.20,0.72,0.91,1.00,BODY
4B28E54B162C4012,-23.32,-6.87,30.40,0.71,0.91,1.00,BODY
DC3D3B57B61D4AC7,-12.85,-6.79,30.60,1.00,0.80,0.29,BODY
35BE3EE849A4B844,-8.40,-7.15,30.00,1.00,0.84,0.23,BODY
D70BB73F089DE8B5,-3.34,-6.70,30.20,1.00,0.80,0.29,BODY
411778B6FF3F56F1,-0.94,-6.95,30.40,1.00,0.80,0.29,BODY
28F60087A50F9F5E,4.30,-6.94,30.60,1.00,0.80,0.29,BODY
DB6E6AA24BE4F450,10.59,-7.06,30.00,1.00,0.80,0.29,BODY
E86C1983383373A4,17.49,-6.94,30.20,0.72,0.91,1.00,BODY
ADDE459BFCC76CF2,-13.94,-6.92,30.40,1.00,0.80,0.29,BODY
4F4652DD9395A09C,-12.08,-6.92,30.60,1.00,0.80,0.29,BODY
1753A46E7A066B95,-5.53,-6.84,30.00,1.00,0.80,0.29,BODY
68F09AA24FA3025D,-2.46,-7.13,30.20,1.00,0.80,0.29,BODY
EBE6E9CEF34014C7,0.26,-6.69,30.40,1.00,0.80,0.29,BODY
52974919CDB153C5,5.06,-6.68,30.60,1.00,0.81,0.28,BODY
710813DADD2AEDBB,11.13,-6.79,30.00,1.00,0.80,0.28,BODY
16F508E1F36A8D76,18.07,-6.72,30.20,0.72,0.91,1.00,BODY
0B70B010865967D8,-14.07,-6.88,30.40,1.00,0.80,0.29,BODY
D95AB97B87A7C630,-11.70,-6.54,30.60,1.00,0.84,0.23,BODY
251A26C5CC754D23,-5.41,-6.88,30.00,1.00,0.80,0.29,BODY
93174EAA7B1AFC76,-2.77,-6.90,30.20,1.00,0.80,0.29,BODY
714BD56BB531E481,0.28,-6.79,30.40,1.00,0.80,0.29,BODY
14FF1A1A535B912B,5.09,-7.06,30.60,1.00,0.80,0.29,BODY
CA613CB7C7B1A5B7,14.72,-6.75,30.00,0.73,0.96,1.00,BODY
7BA3C2B106F22931,17.86,-6.74,30.20,0.72,0.92,1.00,BODY
49C8435ADAD32301,-13.43,-6.72,30.40,1.00,0.80,0.29,BODY
50E59D07B5C731F6,-11.41,-6.59,30.60,1.00,0.80,0.29,BODY
9674D509EB2C0F39,-5.53,-6.98,30.00,1.00,0.80,0.29,BODY
87BD92054C2C1F41,-2.27,-6.64,30.20,1.00,0.80,0.29,BODY
981EA608FBFAF46F,-0.20,-6.55,30.40,1.00,0.80,0.29,BODY
2ADBE265FD56F4B6,5.27,-7.00,30.60,1.00,0.80,0.28,BODY
EDB8A9148B14C019,10.83,-6.75,30.00,1.00,0.80,0.29,BODY
4B8AA8D52B65E144,-24.77,-6.64,30.20,0.72,0.91,1.00,BODY
E6578606632F0E53,-13.57,-6.88,30.40,1.00,0.80,0.29,BODY
02D45C29208CBE2E,-9.40,-6.80,30.60,1.00,0.80,0.29,BODY
796EE7A20FAB7EDD,-5.46,-6.73,30.00,1.00,0.80,0.29,BODY
8C65F8EB0E541BDE,-2.26,-6.87,30.20,1.00,0.80,0.29,BODY
0F74353588BC8FFA,0.20,-6.61,30.40,1.00,0.80,0.29,BODY
B9BE89A2E5544977,4.59,-6.72,30.60,1.00,0.80,0.28,BODY
A35FAE0E96239BA8,11.25,-6.56,30.00,1.00,0.80,0.29,BODY
115D0C5416681010,-23.82,-6.71,30.20,0.72,0.91,1.00,BODY
